,itemcode,date,close_val,change_val,change_rate,acc_quant,acc_amount,log_change_rate,lunage
1886,KOSDAQ,20160808,69643,34.0,0.05,582157,3394017,0.0488,5.6
1887,KOSDAQ,20160809,70073,430.0,0.62,629145,3779965,0.6155,6.6
1888,KOSDAQ,20160810,70746,673.0,0.96,655460,3987218,0.9558,7.6
1889,KOSDAQ,20160811,70333,-413.0,-0.58,697286,3777335,-0.5855,8.6
1890,KOSDAQ,20160812,70518,185.0,0.26,685039,3426301,0.2627,9.6
1891,KOSDAQ,20160816,69887,-631.0,-0.89,559412,3171515,-0.8988,13.6
1892,KOSDAQ,20160817,69367,-520.0,-0.74,632181,3551911,-0.7468,14.6
1893,KOSDAQ,20160818,69693,326.0,0.47,617245,3782024,0.4689,15.6
1894,KOSDAQ,20160819,69620,-73.0,-0.1,536871,3096184,-0.1048,16.6
1895,KOSDAQ,20160822,68815,-805.0,-1.16,621148,3349692,-1.163,19.6
1896,KOSDAQ,20160823,68738,-77.0,-0.11,654820,3251378,-0.112,20.6
1897,KOSDAQ,20160824,68778,40.0,0.06,642893,3266582,0.0582,21.6
1898,KOSDAQ,20160825,68396,-382.0,-0.56,633681,3013171,-0.557,22.6
1899,KOSDAQ,20160826,68043,-353.0,-0.52,714707,2743159,-0.5174,23.6
1900,KOSDAQ,20160829,66358,-1685.0,-2.48,710236,3349626,-2.5076,26.6
1901,KOSDAQ,20160830,66761,403.0,0.61,574579,2655286,0.6055,27.6
1902,KOSDAQ,20160831,66369,-392.0,-0.59,597716,2774885,-0.5889,28.6
1903,KOSDAQ,20160901,67129,760.0,1.15,635147,2623362,1.1386,0.1
1904,KOSDAQ,20160902,67691,562.0,0.84,561749,2609970,0.8337,1.1
1905,KOSDAQ,20160905,67949,258.0,0.38,544515,2574211,0.3804,4.1
1906,KOSDAQ,20160906,67926,-23.0,-0.03,729545,3161045,-0.0339,5.1
1907,KOSDAQ,20160907,67249,-677.0,-1.0,664518,3271814,-1.0017,6.1
1908,KOSDAQ,20160908,66740,-509.0,-0.76,903620,5145771,-0.7598,7.1
1909,KOSDAQ,20160909,66499,-241.0,-0.36,739352,4199087,-0.3618,8.1
1910,KOSDAQ,20160912,65291,-1208.0,-1.82,759705,3947765,-1.8333,11.1
1911,KOSDAQ,20160913,66015,724.0,1.11,614845,3099015,1.1028,12.1
1912,KOSDAQ,20160919,66664,649.0,0.98,706365,3091611,0.9783,18.1
1913,KOSDAQ,20160920,67451,787.0,1.18,721749,3290488,1.1736,19.1
1914,KOSDAQ,20160921,67828,377.0,0.56,883406,3622719,0.5574,20.1
1915,KOSDAQ,20160922,68524,696.0,1.03,934110,4259350,1.0209,21.1
1916,KOSDAQ,20160923,68859,335.0,0.49,779132,3747594,0.4877,22.1
1917,KOSDAQ,20160926,68676,-183.0,-0.27,763733,3934021,-0.2661,25.1
1918,KOSDAQ,20160927,68799,123.0,0.18,713809,3595229,0.1789,26.1
1919,KOSDAQ,20160928,68676,-123.0,-0.18,635238,3284985,-0.1789,27.1
1920,KOSDAQ,20160929,68983,307.0,0.45,735248,3413327,0.446,28.1
1921,KOSDAQ,20160930,68121,-862.0,-1.25,672051,3562974,-1.2575,29.1
1922,KOSDAQ,20161004,68588,467.0,0.69,527741,2848409,0.6832,3.5
1923,KOSDAQ,20161005,68544,-44.0,-0.06,580525,2919191,-0.0642,4.5
1924,KOSDAQ,20161006,68433,-111.0,-0.16,633115,3118158,-0.1621,5.5
1925,KOSDAQ,20161007,67590,-843.0,-1.23,694702,3436769,-1.2395,6.5
1926,KOSDAQ,20161010,67474,-116.0,-0.17,638176,2922063,-0.1718,9.5
1927,KOSDAQ,20161011,67064,-410.0,-0.61,637003,3300732,-0.6095,10.5
1928,KOSDAQ,20161012,66995,-69.0,-0.1,583399,3038033,-0.1029,11.5
1929,KOSDAQ,20161013,66309,-686.0,-1.02,587759,2877140,-1.0292,12.5
1930,KOSDAQ,20161014,66492,183.0,0.28,601421,2985322,0.2756,13.5
1931,KOSDAQ,20161017,65983,-509.0,-0.77,505975,2825799,-0.7685,16.5
1932,KOSDAQ,20161018,66029,46.0,0.07,512987,2675213,0.0697,17.5
1933,KOSDAQ,20161019,66126,97.0,0.15,520671,2558184,0.1468,18.5
1934,KOSDAQ,20161020,65568,-558.0,-0.84,549446,2912072,-0.8474,19.5
1935,KOSDAQ,20161021,65177,-391.0,-0.6,500051,2897623,-0.5981,20.5
1936,KOSDAQ,20161024,64788,-389.0,-0.6,554776,2929056,-0.5986,23.5
1937,KOSDAQ,20161025,64017,-771.0,-1.19,621795,3491449,-1.1972,24.5
1938,KOSDAQ,20161026,63551,-466.0,-0.73,720643,3805789,-0.7306,25.5
1939,KOSDAQ,20161027,64857,1306.0,2.06,461445,2669218,2.0342,26.5
1940,KOSDAQ,20161028,64017,-840.0,-1.3,498711,2998354,-1.3036,27.5
1941,KOSDAQ,20161031,62468,-1549.0,-2.42,551338,2891834,-2.4494,0.8
1942,KOSDAQ,20161101,62638,170.0,0.27,588174,2760792,0.2718,1.8
1943,KOSDAQ,20161102,60606,-2032.0,-3.24,626162,3221859,-3.2978,2.8
1944,KOSDAQ,20161103,60999,393.0,0.65,488459,2640558,0.6464,3.8
1945,KOSDAQ,20161104,61082,83.0,0.14,500194,2456164,0.136,4.8
1946,KOSDAQ,20161107,62217,1135.0,1.86,523452,2470952,1.8411,7.8
1947,KOSDAQ,20161108,62419,202.0,0.32,528121,2537891,0.3241,8.8
1948,KOSDAQ,20161109,59974,-2445.0,-3.92,1059100,5724448,-3.9959,9.8
1949,KOSDAQ,20161110,62323,2349.0,3.92,618270,3497264,3.8419,10.8
1950,KOSDAQ,20161111,62189,-134.0,-0.22,509569,2636702,-0.2152,11.8
