,itemcode,date,close_val,change_val,change_rate,acc_quant,acc_amount,log_change_rate,lunage
223,KOSPI,20091119,162054,1657.0,1.03,271683,4649250,1.0278,2.7
224,KOSPI,20091120,162060,6.0,0.0,251289,3557823,0.0037,3.7
225,KOSPI,20091123,161905,-155.0,-0.1,243848,3243824,-0.0957,6.7
226,KOSPI,20091124,160642,-1263.0,-0.78,333033,3886077,-0.7831,7.7
227,KOSPI,20091125,161188,546.0,0.34,276913,3313916,0.3393,8.7
228,KOSPI,20091126,159952,-1236.0,-0.77,276259,4018904,-0.7698,9.7
229,KOSPI,20091127,152450,-7502.0,-4.69,380440,5378260,-4.8037,10.7
230,KOSPI,20091130,155560,3110.0,2.04,302208,4439384,2.0195,13.7
231,KOSPI,20091201,156972,1412.0,0.91,297389,4414263,0.9036,14.7
232,KOSPI,20091202,159163,2191.0,1.4,322305,4680960,1.3861,15.7
233,KOSPI,20091203,161500,2337.0,1.47,267190,4287071,1.4576,16.7
234,KOSPI,20091204,162476,976.0,0.6,275963,4427872,0.6025,17.7
235,KOSPI,20091207,163265,789.0,0.49,260628,3826222,0.4844,20.7
236,KOSPI,20091208,162778,-487.0,-0.3,350137,3499781,-0.2987,21.7
237,KOSPI,20091209,163417,639.0,0.39,347919,4372471,0.3918,22.7
238,KOSPI,20091210,165273,1856.0,1.14,460226,7065620,1.1293,23.7
239,KOSPI,20091211,165690,417.0,0.25,430306,5319754,0.252,24.7
240,KOSPI,20091214,166477,787.0,0.47,393160,4768260,0.4739,27.7
241,KOSPI,20091215,166585,108.0,0.06,357369,4925818,0.0649,28.7
242,KOSPI,20091216,166424,-161.0,-0.1,363157,4546962,-0.0967,29.7
243,KOSPI,20091217,164784,-1640.0,-0.99,372263,4229091,-0.9903,1.0
244,KOSPI,20091218,164704,-80.0,-0.05,257975,3876788,-0.0486,2.0
245,KOSPI,20091221,164423,-281.0,-0.17,277399,3698982,-0.1708,5.0
246,KOSPI,20091222,165554,1131.0,0.69,464988,3668723,0.6855,6.0
247,KOSPI,20091223,166135,581.0,0.35,344879,3803590,0.3503,7.0
248,KOSPI,20091224,168234,2099.0,1.26,323153,4759422,1.2555,8.0
249,KOSPI,20091228,168559,325.0,0.19,383930,5742818,0.193,12.0
250,KOSPI,20091229,167248,-1311.0,-0.78,312271,4149744,-0.7808,13.0
251,KOSPI,20091230,168277,1029.0,0.62,321717,4228316,0.6134,14.0
252,KOSPI,20100104,169614,1337.0,0.79,291082,4214374,0.7914,19.0
253,KOSPI,20100105,169062,-552.0,-0.33,402043,6694054,-0.326,20.0
254,KOSPI,20100106,170532,1470.0,0.87,420481,6281895,0.8657,21.0
255,KOSPI,20100107,168345,-2187.0,-1.28,456464,7377683,-1.2908,22.0
256,KOSPI,20100108,169526,1181.0,0.7,371357,6785182,0.6991,23.0
257,KOSPI,20100111,169412,-114.0,-0.07,399263,6772706,-0.0673,26.0
258,KOSPI,20100112,169864,452.0,0.27,377882,5154876,0.2664,27.0
259,KOSPI,20100113,167141,-2723.0,-1.6,356033,5155181,-1.616,28.0
260,KOSPI,20100114,168577,1436.0,0.86,428554,6112422,0.8555,29.0
261,KOSPI,20100115,170180,1603.0,0.95,410091,6375103,0.9464,0.2
262,KOSPI,20100118,171178,998.0,0.59,415281,6225709,0.5847,3.2
263,KOSPI,20100119,171022,-156.0,-0.09,378000,5576733,-0.0912,4.2
264,KOSPI,20100120,171438,416.0,0.24,688689,7155224,0.2429,5.2
265,KOSPI,20100121,172201,763.0,0.45,536757,5655444,0.4441,6.2
